58859.00 	0.062861 0.006897  0.298340 0.009262 -0.1717233 0.0070588
58860.00 	0.061663 0.006951  0.299420 0.009355 -0.1718113 0.0071385
58861.00 	0.060485 0.007005  0.300518 0.009447 -0.1720802 0.0072179
58862.00 	0.059328 0.007059  0.301636 0.009538 -0.1725708 0.0072970
58863.00 	0.058190 0.007113  0.302773 0.009630 -0.1732692 0.0073758
58864.00 	0.057074 0.007166  0.303927 0.009721 -0.1741116 0.0074544
58865.00 	0.055978 0.007219  0.305100 0.009812 -0.1750023 0.0075326
58866.00 	0.054905 0.007271  0.306290 0.009902 -0.1758399 0.0076106
58867.00 	0.053853 0.007324  0.307497 0.009992 -0.1765413 0.0076883
58868.00 	0.052823 0.007376  0.308721 0.010082 -0.1770587 0.0077657
58869.00 	0.051816 0.007427  0.309961 0.010171 -0.1773880 0.0078428
58870.00 	0.050833 0.007479  0.311218 0.010261 -0.1775616 0.0079197
58871.00 	0.049872 0.007530  0.312491 0.010349 -0.1776378 0.0079964
58872.00 	0.048935 0.007581  0.313779 0.010438 -0.1776847 0.0080728
58873.00 	0.048022 0.007632  0.315082 0.010526 -0.1777672 0.0081489
58874.00 	0.047133 0.007682  0.316399 0.010614 -0.1779348 0.0082248
58875.00 	0.046269 0.007732  0.317731 0.010702 -0.1782165 0.0083005
58876.00 	0.045430 0.007782  0.319077 0.010789 -0.1786212 0.0083759
58877.00 	0.044615 0.007832  0.320436 0.010876 -0.1791385 0.0084511
58878.00 	0.043827 0.007882  0.321808 0.010963 -0.1797426 0.0085261
58879.00 	0.043063 0.007931  0.323193 0.011050 -0.1803966 0.0086008
58880.00 	0.042326 0.007980  0.324590 0.011136 -0.1810583 0.0086754
58881.00 	0.041615 0.008029  0.325999 0.011222 -0.1816866 0.0087497
58882.00 	0.040931 0.008077  0.327419 0.011308 -0.1822493 0.0088237
58883.00 	0.040273 0.008126  0.328851 0.011394 -0.1827259 0.0088976
58884.00 	0.039642 0.008174  0.330293 0.011479 -0.1831120 0.0089713
58885.00 	0.039039 0.008222  0.331745 0.011564 -0.1834289 0.0090448
58886.00 	0.038462 0.008269  0.333207 0.011649 -0.1837339 0.0091180
58887.00 	0.037914 0.008317  0.334678 0.011734 -0.1841156 0.0091911
58888.00 	0.037393 0.008364  0.336158 0.011818 -0.1846689 0.0092639
58889.00 	0.036899 0.008411  0.337647 0.011902 -0.1854612 0.0093366
58890.00 	0.036434 0.008458  0.339145 0.011986 -0.1865029 0.0094091
58891.00 	0.035997 0.008505  0.340650 0.012070 -0.1877378 0.0094814
58892.00 	0.035589 0.008551  0.342162 0.012153 -0.1890556 0.0095535
58893.00 	0.035209 0.008598  0.343681 0.012236 -0.1903304 0.0096254
58894.00 	0.034858 0.008644  0.345206 0.012319 -0.1914570 0.0096971
58895.00 	0.034536 0.008690  0.346737 0.012402 -0.1923742 0.0097686
58896.00 	0.034243 0.008736  0.348273 0.012485 -0.1929271 0.0098400
58897.00 	0.033979 0.008781  0.349813 0.012567 -0.1933015 0.0099112
58898.00 	0.033745 0.008827  0.351358 0.012649 -0.1935586 0.0099822
58899.00 	0.033540 0.008872  0.352907 0.012731 -0.1937697 0.0100531
58900.00 	0.033365 0.008917  0.354459 0.012813 -0.1940022 0.0101238
58901.00 	0.033219 0.008962  0.356014 0.012895 -0.1943096 0.0101943
58902.00 	0.033103 0.009007  0.357571 0.012976 -0.1947268 0.0102646
58903.00 	0.033016 0.009051  0.359131 0.013057 -0.1952685 0.0103348
58904.00 	0.032960 0.009096  0.360691 0.013138 -0.1959299 0.0104048
58905.00 	0.032933 0.009140  0.362253 0.013219 -0.1966882 0.0104747
58906.00 	0.032937 0.009184  0.363815 0.013299 -0.1975058 0.0105444
58907.00 	0.032970 0.009228  0.365378 0.013380 -0.1983378 0.0106139
58908.00 	0.033033 0.009271  0.366940 0.013460 -0.1991396 0.0106833
58909.00 	0.033127 0.009315  0.368501 0.013540 -0.1998755 0.0107526
58910.00 	0.033250 0.009359  0.370061 0.013620 -0.2005230 0.0108216
58911.00 	0.033403 0.009402  0.371619 0.013699 -0.2010762 0.0108906
58912.00 	0.033587 0.009445  0.373174 0.013779 -0.2015507 0.0109594
58913.00 	0.033800 0.009488  0.374727 0.013858 -0.2019901 0.0110280
58914.00 	0.034043 0.009531  0.376276 0.013937 -0.2024699 0.0110965
58915.00 	0.034316 0.009574  0.377822 0.014016 -0.2030866 0.0111649
58916.00 	0.034619 0.009616  0.379364 0.014095 -0.2039319 0.0112331
58917.00 	0.034952 0.009658  0.380900 0.014173 -0.2050553 0.0113012
58918.00 	0.035315 0.009701  0.382432 0.014252 -0.2064355 0.0113691
58919.00 	0.035707 0.009743  0.383958 0.014330 -0.2079780 0.0114369
58920.00 	0.036129 0.009785  0.385478 0.014408 -0.2095429 0.0115046
58921.00 	0.036580 0.009827  0.386991 0.014486 -0.2109909 0.0115721
58922.00 	0.037061 0.009869  0.388498 0.014564 -0.2122255 0.0116395
58923.00 	0.037571 0.009910  0.389997 0.014641 -0.2132134 0.0117067
58924.00 	0.038110 0.009952  0.391487 0.014719 -0.2139807 0.0117739
58925.00 	0.038678 0.009993  0.392970 0.014796 -0.2145920 0.0118409
58926.00 	0.039275 0.010034  0.394444 0.014873 -0.2151262 0.0119077
58927.00 	0.039901 0.010075  0.395908 0.014950 -0.2156577 0.0119745
58928.00 	0.040555 0.010116  0.397362 0.015027 -0.2162460 0.0120411
58929.00 	0.041238 0.010157  0.398807 0.015104 -0.2169315 0.0121076
58930.00 	0.041949 0.010198  0.400240 0.015180 -0.2177343 0.0121740
58931.00 	0.042688 0.010238  0.401663 0.015257 -0.2186544 0.0122402
58932.00 	0.043455 0.010279  0.403073 0.015333 -0.2196730 0.0123063
58933.00 	0.044249 0.010319  0.404472 0.015409 -0.2207559 0.0123723
58934.00 	0.045071 0.010359  0.405859 0.015485 -0.2218572 0.0124382
58935.00 	0.045921 0.010399  0.407232 0.015560 -0.2229276 0.0125040
58936.00 	0.046797 0.010439  0.408593 0.015636 -0.2239241 0.0125696
58937.00 	0.047700 0.010479  0.409939 0.015712 -0.2248177 0.0126352
58938.00 	0.048630 0.010519  0.411271 0.015787 -0.2255980 0.0127006
58939.00 	0.049586 0.010559  0.412589 0.015862 -0.2262767 0.0127659
58940.00 	0.050568 0.010598  0.413892 0.015937 -0.2268897 0.0128311
58941.00 	0.051576 0.010638  0.415179 0.016012 -0.2274995 0.0128962
58942.00 	0.052609 0.010677  0.416451 0.016087 -0.2281918 0.0129612
58943.00 	0.053667 0.010716  0.417706 0.016162 -0.2290617 0.0130260
58944.00 	0.054751 0.010755  0.418945 0.016236 -0.2301853 0.0130908
58945.00 	0.055859 0.010794  0.420167 0.016310 -0.2315857 0.0131554
58946.00 	0.056991 0.010833  0.421371 0.016385 -0.2332117 0.0132199
58947.00 	0.058148 0.010872  0.422558 0.016459 -0.2349431 0.0132844
58948.00 	0.059328 0.010911  0.423727 0.016533 -0.2366270 0.0133487
58949.00 	0.060531 0.010949  0.424877 0.016607 -0.2381282 0.0134129
58950.00 	0.061758 0.010988  0.426008 0.016681 -0.2393689 0.0134770
58951.00 	0.063007 0.011026  0.427120 0.016754 -0.2403431 0.0135410
58952.00 	0.064279 0.011064  0.428212 0.016828 -0.2411040 0.0136050
58953.00 	0.065572 0.011103  0.429284 0.016901 -0.2417346 0.0136688
58954.00 	0.066887 0.011141  0.430337 0.016974 -0.2423201 0.0137325
58955.00 	0.068224 0.011179  0.431368 0.017047 -0.2429297 0.0137961
58956.00 	0.069581 0.011216  0.432379 0.017120 -0.2436118 0.0138596
58957.00 	0.070959 0.011254  0.433368 0.017193 -0.2443918 0.0139230
58958.00 	0.072357 0.011292  0.434335 0.017266 -0.2452745 0.0139863
58959.00 	0.073774 0.011330  0.435281 0.017339 -0.2462463 0.0140495
58960.00 	0.075211 0.011367  0.436205 0.017411 -0.2472773 0.0141127
58961.00 	0.076667 0.011404  0.437106 0.017484 -0.2483253 0.0141757
58962.00 	0.078141 0.011442  0.437984 0.017556 -0.2493419 0.0142386
58963.00 	0.079634 0.011479  0.438839 0.017628 -0.2502803 0.0143014
58964.00 	0.081144 0.011516  0.439670 0.017700 -0.2511034 0.0143642
58965.00 	0.082671 0.011553  0.440478 0.017772 -0.2517932 0.0144268
58966.00 	0.084215 0.011590  0.441262 0.017844 -0.2523556 0.0144894
58967.00 	0.085775 0.011627  0.442022 0.017916 -0.2528219 0.0145519
58968.00 	0.087351 0.011664  0.442758 0.017987 -0.2532475 0.0146142
58969.00 	0.088942 0.011700  0.443468 0.018059 -0.2537081 0.0146765
58970.00 	0.090549 0.011737  0.444154 0.018130 -0.2542904 0.0147387
58971.00 	0.092170 0.011774  0.444815 0.018201 -0.2550748 0.0148008
58972.00 	0.093805 0.011810  0.445450 0.018272 -0.2561106 0.0148629
58973.00 	0.095453 0.011846  0.446059 0.018344 -0.2573913 0.0149248
58974.00 	0.097115 0.011883  0.446643 0.018415 -0.2588441 0.0149867
58975.00 	0.098789 0.011919  0.447201 0.018485 -0.2603438 0.0150484
58976.00 	0.100476 0.011955  0.447732 0.018556 -0.2617506 0.0151101
58977.00 	0.102174 0.011991  0.448237 0.018627 -0.2629559 0.0151717
58978.00 	0.103883 0.012027  0.448716 0.018697 -0.2639126 0.0152332
58979.00 	0.105602 0.012063  0.449168 0.018768 -0.2646399 0.0152946
58980.00 	0.107332 0.012098  0.449593 0.018838 -0.2652019 0.0153560
58981.00 	0.109072 0.012134  0.449990 0.018908 -0.2656777 0.0154172
58982.00 	0.110820 0.012170  0.450361 0.018978 -0.2661372 0.0154784
58983.00 	0.112577 0.012205  0.450704 0.019048 -0.2666299 0.0155395
58984.00 	0.114342 0.012241  0.451019 0.019118 -0.2671837 0.0156005
58985.00 	0.116115 0.012276  0.451307 0.019188 -0.2678064 0.0156614
58986.00 	0.117895 0.012311  0.451568 0.019258 -0.2684875 0.0157223
58987.00 	0.119681 0.012347  0.451800 0.019328 -0.2692005 0.0157831
58988.00 	0.121474 0.012382  0.452005 0.019397 -0.2699067 0.0158438
58989.00 	0.123272 0.012417  0.452181 0.019466 -0.2705604 0.0159044
58990.00 	0.125074 0.012452  0.452329 0.019536 -0.2711160 0.0159649
58991.00 	0.126882 0.012487  0.452449 0.019605 -0.2715349 0.0160254
58992.00 	0.128693 0.012522  0.452541 0.019674 -0.2717924 0.0160858
58993.00 	0.130507 0.012556  0.452605 0.019743 -0.2718852 0.0161461
58994.00 	0.132324 0.012591  0.452640 0.019812 -0.2718356 0.0162063
58995.00 	0.134144 0.012626  0.452647 0.019881 -0.2716921 0.0162665
58996.00 	0.135965 0.012660  0.452625 0.019950 -0.2715245 0.0163265
58997.00 	0.137787 0.012695  0.452575 0.020019 -0.2714152 0.0163866
58998.00 	0.139610 0.012729  0.452496 0.020087 -0.2714456 0.0164465
58999.00 	0.141433 0.012764  0.452389 0.020156 -0.2716768 0.0165063
59000.00 	0.143256 0.012798  0.452253 0.020224 -0.2721279 0.0165661
59001.00 	0.145078 0.012832  0.452089 0.020292 -0.2727607 0.0166258
59002.00 	0.146898 0.012866  0.451897 0.020361 -0.2734812 0.0166855
59003.00 	0.148716 0.012900  0.451676 0.020429 -0.2741631 0.0167451
59004.00 	0.150532 0.012934  0.451426 0.020497 -0.2746909 0.0168046
59005.00 	0.152344 0.012968  0.451149 0.020565 -0.2749950 0.0168640
59006.00 	0.154153 0.013002  0.450843 0.020633 -0.2750636 0.0169233
59007.00 	0.155958 0.013036  0.450508 0.020700 -0.2749596 0.0169826
59008.00 	0.157757 0.013070  0.450146 0.020768 -0.2747757 0.0170419
59009.00 	0.159552 0.013103  0.449755 0.020836 -0.2745721 0.0171010
59010.00 	0.161340 0.013137  0.449337 0.020903 -0.2743865 0.0171601
59011.00 	0.163123 0.013171  0.448891 0.020971 -0.2742601 0.0172191
59012.00 	0.164898 0.013204  0.448416 0.021038 -0.2742011 0.0172780
59013.00 	0.166666 0.013237  0.447915 0.021105 -0.2742627 0.0173369
